first_name,last_name,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,owns_car,tenure,postcode,state,country,property_valuation,Rank,Value,age
Roberta,Goodale,Female,9,Information Systems Manager,Property,Mass Customer,Yes,22,4211,QLD,Australia,7,215,1.12890625,73.0
Kippy,Barabisch,Male,11,Legal Assistant,Manufacturing,Mass Customer,No,4,2125,NSW,Australia,11,215,1.12890625,20.0
Rosalinde,Cubuzzi,Female,50,Business Systems Development Analyst,Health,Mass Customer,No,5,2444,NSW,Australia,7,215,1.12890625,22.0
Cami,Barnbrook,Female,8,Occupational Therapist,Health,Affluent Customer,Yes,18,4285,QLD,Australia,2,218,1.12625,57.0
Dorian,Stollen,Male,78,Statistician I,Financial Services,Mass Customer,Yes,18,2026,NSW,Australia,11,219,1.125,40.0
Hunfredo,Hayball,Male,7,Geologist III,IT,Affluent Customer,No,3,2227,NSW,Australia,8,219,1.125,26.0
Giorgi,O'Shirine,Male,68,Payment Adjustment Coordinator,Retail,Mass Customer,Yes,15,3934,VIC,Australia,8,219,1.125,39.0
Kort,Disley,Male,66,Technical Writer,Health,Mass Customer,Yes,7,2160,NSW,Australia,9,219,1.125,41.0
Gretna,Thredder,Female,62,Developer I,Argiculture,Mass Customer,No,18,2203,NSW,Australia,11,223,1.115625,54.0
Tobiah,Heinsius,Male,66,Chief Design Engineer,Health,High Net Worth,No,9,2446,NSW,Australia,8,223,1.115625,20.0
Wallace,Newart,Male,91,Business Systems Development Analyst,IT,Mass Customer,No,17,4650,QLD,Australia,1,223,1.115625,42.0
Hersh,Stubbert,Male,0,Technical Writer,Manufacturing,Mass Customer,Yes,15,4115,QLD,Australia,8,226,1.1125,20.0
Hatti,Carletti,Male,35,Legal Assistant,IT,Affluent Customer,Yes,11,2519,NSW,Australia,9,226,1.1125,31.0
Wyn,Saynor,Male,54,Cost Accountant,Financial Services,High Net Worth,No,8,2099,NSW,Australia,9,226,1.1125,56.0
Maribeth,Stivani,Female,46,Associate Professor,Financial Services,Mass Customer,No,7,2430,NSW,Australia,8,226,1.1125,65.0
Abigale,Sives,Female,48,VP Marketing,Health,Affluent Customer,Yes,14,4207,QLD,Australia,4,230,1.109375,56.0
Gothart,Artus,Male,52,Health Coach IV,Health,Mass Customer,Yes,14,2117,NSW,Australia,10,231,1.105,42.0
Danny,Bodle,Male,50,Statistician I,Manufacturing,Mass Customer,Yes,18,2007,NSW,Australia,9,231,1.105,76.0
Vittorio,Boxen,Male,94,Mechanical Systems Engineer,Telecommunications,Mass Customer,No,14,2148,NSW,Australia,9,233,1.1,54.0
Deborah,Petrovsky,Female,53,Teacher,Property,Mass Customer,No,16,2011,NSW,Australia,7,233,1.1,77.0
Agace,Hedge,Female,25,Media Manager II,Manufacturing,Mass Customer,Yes,13,3429,VIC,Australia,8,233,1.1,22.0
Rolland,Esmead,Male,41,Desktop Support Technician,Health,Affluent Customer,No,8,2200,NSW,Australia,8,233,1.1,80.0
Latrena,Walklate,Female,97,Mechanical Systems Engineer,Telecommunications,High Net Worth,Yes,13,2281,NSW,Australia,8,237,1.094375,76.0
Mariquilla,Springthorpe,Female,30,Director of Sales,Property,Mass Customer,Yes,8,2224,NSW,Australia,10,237,1.094375,81.0
Leticia,Danovich,Female,84,Design Engineer,Entertainment,Mass Customer,Yes,15,4307,QLD,Australia,1,237,1.094375,78.0
Harman,Lynds,Male,4,Professor,Health,Mass Customer,Yes,5,4105,QLD,Australia,8,240,1.09,59.0
Farra,Matyushkin,Female,18,VP Quality Control,Manufacturing,High Net Worth,Yes,9,3170,VIC,Australia,9,241,1.0875,46.0
Robenia,Monks,Female,94,Nurse Practicioner,Manufacturing,Mass Customer,No,5,4065,QLD,Australia,9,241,1.0875,61.0
Roman,Eastwood,Male,57,Associate Professor,Manufacturing,Affluent Customer,Yes,16,3004,VIC,Australia,4,241,1.0875,50.0
Solomon,Bruck,Male,29,Junior Executive,Health,Mass Customer,No,12,4556,QLD,Australia,8,244,1.08375,62.0
Krystyna,Airey,Female,2,Safety Technician II,Health,Mass Customer,Yes,19,4006,QLD,Australia,5,244,1.08375,69.0
Katharine,Redbourn,Female,8,Recruiter,Manufacturing,Affluent Customer,Yes,4,3134,VIC,Australia,10,244,1.08375,52.0
Cammy,Stoneham,Female,74,Business Systems Development Analyst,Financial Services,High Net Worth,No,14,4680,QLD,Australia,3,244,1.08375,57.0
Ellsworth,Andrieux,Male,49,Senior Cost Accountant,Financial Services,Affluent Customer,Yes,10,4036,QLD,Australia,7,248,1.078125,49.0
Federico,Leuty,Male,59,Product Engineer,Property,High Net Worth,Yes,11,2380,NSW,Australia,4,249,1.07578125,41.0
Ferdy,Hornung,Male,57,Analog Circuit Design manager,Entertainment,High Net Worth,No,18,4506,QLD,Australia,3,250,1.075,46.0
Sunny,Christescu,Female,90,Cost Accountant,Financial Services,Mass Customer,No,11,2209,NSW,Australia,10,250,1.075,45.0
Shadow,Yakutin,Male,85,Software Test Engineer IV,Health,Affluent Customer,Yes,6,4119,QLD,Australia,2,252,1.073125,53.0
Sharai,Priddie,Female,13,Sales Representative,Retail,Mass Customer,No,9,2145,NSW,Australia,9,252,1.073125,59.0
Celeste,Fretson,Female,91,Product Engineer,IT,Mass Customer,No,9,2166,NSW,Australia,9,252,1.073125,39.0
Lea,Ilyinski,Female,75,Structural Analysis Engineer,Financial Services,High Net Worth,No,12,2026,NSW,Australia,12,252,1.073125,22.0
Dyann,Olechnowicz,Female,17,Nuclear Power Engineer,Manufacturing,Mass Customer,No,16,3031,VIC,Australia,10,252,1.073125,81.0
Delly,Sunman,Female,49,Account Coordinator,Retail,Mass Customer,No,15,3206,VIC,Australia,12,252,1.073125,61.0
Malvin,Ryhorovich,Male,37,Quality Control Specialist,Financial Services,Mass Customer,No,5,4818,QLD,Australia,3,252,1.073125,58.0
Tanya,Hamberston,Female,45,Product Engineer,Property,Mass Customer,Yes,9,4113,QLD,Australia,6,259,1.0625,19.0
Kaela,Romaines,Female,41,Geological Engineer,Manufacturing,High Net Worth,No,19,2155,NSW,Australia,10,259,1.0625,48.0
Evonne,Bembridge,Female,9,Recruiting Manager,Retail,Mass Customer,Yes,14,3103,VIC,Australia,9,259,1.0625,51.0
Shannen,Lewin,Female,21,Analog Circuit Design manager,Argiculture,High Net Worth,No,6,4210,QLD,Australia,6,259,1.0625,29.0
Bogey,Attew,Male,88,Software Engineer II,IT,Mass Customer,Yes,10,4165,QLD,Australia,9,259,1.0625,27.0
Zondra,Ringham,Female,36,Cost Accountant,Financial Services,Mass Customer,Yes,7,4510,QLD,Australia,5,259,1.0625,72.0
Barnebas,Apfel,Male,57,Account Executive,Manufacturing,Affluent Customer,Yes,2,4000,QLD,Australia,6,259,1.0625,24.0
Alleen,Eaken,Female,56,Electrical Engineer,Manufacturing,Mass Customer,No,10,2089,NSW,Australia,12,259,1.0625,81.0
Gerri,Schimann,Female,81,Desktop Support Technician,Property,Mass Customer,Yes,18,2566,NSW,Australia,8,259,1.0625,50.0
Antonietta,Egle,Female,82,Actuary,Financial Services,Mass Customer,No,7,3805,VIC,Australia,7,259,1.0625,46.0
Raff,Waycott,Male,70,Engineer IV,Manufacturing,Affluent Customer,Yes,14,3977,VIC,Australia,7,259,1.0625,68.0
Lark,Gonet,Female,89,Database Administrator II,Health,High Net Worth,No,8,2763,NSW,Australia,8,259,1.0625,48.0
Cletis,Longley,Male,84,Chemical Engineer,Manufacturing,High Net Worth,Yes,1,3199,VIC,Australia,7,271,1.06,24.0
Bartram,Di Lucia,Male,70,Software Consultant,Argiculture,Mass Customer,Yes,5,2480,NSW,Australia,3,271,1.06,59.0
Theresa,Cowper,Female,99,Accountant III,Manufacturing,Mass Customer,No,3,2529,NSW,Australia,10,271,1.06,43.0
Philbert,Raraty,Male,48,Executive Secretary,Manufacturing,Mass Customer,No,6,2177,NSW,Australia,9,274,1.051875,64.0
Egon,Ortells,Male,35,Structural Engineer,Manufacturing,Affluent Customer,No,13,2168,NSW,Australia,9,274,1.051875,44.0
Dahlia,Shovlar,Female,90,Environmental Specialist,Financial Services,Affluent Customer,Yes,7,3976,VIC,Australia,3,274,1.051875,54.0
Timi,Duny,Female,70,Office Assistant II,Telecommunications,High Net Worth,No,6,2092,NSW,Australia,12,274,1.051875,67.0
Dominick,Asher,Male,50,Research Associate,Health,Affluent Customer,Yes,5,3804,VIC,Australia,9,278,1.05,57.0
Raye,Roo,Female,64,Database Administrator I,Financial Services,Mass Customer,Yes,16,3046,VIC,Australia,9,278,1.05,44.0
Becka,Hacon,Female,81,General Manager,Financial Services,Affluent Customer,No,17,3791,VIC,Australia,9,278,1.05,55.0
Cirillo,Frossell,Male,7,Graphic Designer,Manufacturing,Mass Customer,No,6,2111,NSW,Australia,12,278,1.05,51.0
Verla,Dumingos,Female,26,Design Engineer,Telecommunications,Mass Customer,Yes,10,3021,VIC,Australia,8,282,1.04921875,48.0
Sherrie,Godleman,Female,37,Associate Professor,Manufacturing,Mass Customer,No,19,3350,VIC,Australia,2,282,1.04921875,42.0
Dexter,Shutle,Male,81,Quality Control Specialist,Property,Mass Customer,No,17,4005,QLD,Australia,7,284,1.046875,61.0
Konstanze,Hovie,Female,88,Pharmacist,Health,Mass Customer,No,11,4370,QLD,Australia,7,285,1.04125,53.0
Bink,Bentje,Male,3,Payment Adjustment Coordinator,Financial Services,High Net Worth,Yes,19,2680,NSW,Australia,3,285,1.04125,63.0
Taber,Szymon,Male,70,Senior Sales Associate,Argiculture,Affluent Customer,No,13,4659,QLD,Australia,8,287,1.04,73.0
Debbi,Dannatt,Female,2,Technical Writer,Health,Affluent Customer,No,6,4218,QLD,Australia,10,287,1.04,61.0
Giana,Staresmeare,Female,96,Account Representative IV,Retail,Affluent Customer,Yes,9,2770,NSW,Australia,7,289,1.0375,44.0
Morton,Petkens,Male,50,Account Coordinator,Manufacturing,High Net Worth,Yes,10,3012,VIC,Australia,1,289,1.0375,29.0
Vittoria,Whitney,Female,95,Research Assistant I,Financial Services,High Net Worth,No,12,2019,NSW,Australia,11,291,1.0359375,39.0
Paquito,Atwood,Male,15,Nuclear Power Engineer,Manufacturing,Affluent Customer,No,9,3199,VIC,Australia,8,291,1.0359375,47.0
Dimitri,Tribbeck,Male,89,Chief Design Engineer,Manufacturing,Affluent Customer,No,20,3165,VIC,Australia,6,291,1.0359375,61.0
Shelli,Bartholomaus,Female,88,Associate Professor,Health,Mass Customer,Yes,6,3082,VIC,Australia,7,291,1.0359375,57.0
Kermit,Lebond,Male,36,Financial Advisor,Financial Services,Mass Customer,No,4,4208,QLD,Australia,8,295,1.03125,40.0
Biddie,Gorce,Female,68,Senior Financial Analyst,Financial Services,Mass Customer,Yes,5,2795,NSW,Australia,7,295,1.03125,32.0
Rupert,Marrow,Male,73,Software Engineer I,Property,High Net Worth,No,19,2760,NSW,Australia,8,297,1.030625,49.0
Geoff,Sitford,Male,97,Account Executive,Financial Services,Mass Customer,Yes,4,2148,NSW,Australia,8,297,1.030625,55.0
Ange,Chitham,Female,91,Web Designer II,Argiculture,Mass Customer,No,10,2560,NSW,Australia,8,297,1.030625,29.0
Tiphanie,Blackader,Female,59,Physical Therapy Assistant,Retail,Mass Customer,No,17,2007,NSW,Australia,11,297,1.030625,72.0
Zollie,Crinidge,Male,39,Systems Administrator I,Retail,Mass Customer,Yes,10,4019,QLD,Australia,5,297,1.030625,32.0
Daisy,Pollen,Female,97,Cost Accountant,Financial Services,Mass Customer,No,7,3167,VIC,Australia,9,302,1.03,26.0
Emelen,Bidnall,Male,79,Systems Administrator IV,Health,Affluent Customer,Yes,11,2026,NSW,Australia,12,302,1.03,38.0
Linette,Boman,Female,56,Account Executive,Telecommunications,Affluent Customer,No,11,2076,NSW,Australia,11,304,1.025,71.0
Manya,Abramovici,Female,42,Quality Engineer,Financial Services,High Net Worth,Yes,13,4214,QLD,Australia,8,304,1.025,65.0
Brynna,Tivers,Female,81,Recruiting Manager,Financial Services,Mass Customer,No,6,4272,QLD,Australia,7,304,1.025,45.0
Art,Carolan,Male,1,Marketing Manager,Manufacturing,Affluent Customer,Yes,11,2570,NSW,Australia,9,304,1.025,65.0
Alfi,Sabbins,Female,63,Analyst Programmer,Financial Services,High Net Worth,Yes,18,2344,NSW,Australia,3,304,1.025,61.0
Loleta,Aberdalgy,Female,45,Occupational Therapist,Health,Mass Customer,No,11,2287,NSW,Australia,6,304,1.025,39.0
Aldric,Birney,Male,21,Environmental Specialist,Manufacturing,Mass Customer,Yes,14,2546,NSW,Australia,6,310,1.02265625,48.0
Natividad,Balducci,Female,39,Programmer II,Property,High Net Worth,Yes,10,3206,VIC,Australia,11,310,1.02265625,29.0
Claudine,Dymick,Female,28,Design Engineer,Health,Mass Customer,No,5,3977,VIC,Australia,5,312,1.02,54.0
Seamus,Cains,Male,61,Teacher,Manufacturing,High Net Worth,No,7,2305,NSW,Australia,8,312,1.02,30.0
Guss,Karim,Male,95,Senior Sales Associate,Manufacturing,Mass Customer,No,7,2227,NSW,Australia,11,312,1.02,51.0
Julietta,Setchfield,Female,73,Operator,Health,High Net Worth,Yes,3,4170,QLD,Australia,8,312,1.02,28.0
Roch,Symson,Female,96,Office Assistant I,Manufacturing,High Net Worth,No,18,3073,VIC,Australia,9,312,1.02,42.0
Audry,Fann,Female,3,Pharmacist,Health,Mass Customer,Yes,15,3029,VIC,Australia,6,312,1.02,62.0
Cecelia,Cisar,Female,20,Analog Circuit Design manager,Property,Mass Customer,Yes,15,4212,QLD,Australia,7,312,1.02,35.0
Clari,Voas,Female,74,Human Resources Assistant II,Health,Affluent Customer,Yes,14,2127,NSW,Australia,8,312,1.02,64.0
Zach,Hedman,Male,87,Analyst Programmer,Financial Services,Affluent Customer,Yes,4,2566,NSW,Australia,9,320,1.015625,38.0
Paxon,Roomes,Male,78,Information Systems Manager,Financial Services,High Net Worth,Yes,7,3021,VIC,Australia,7,320,1.015625,43.0
Parnell,Lamprey,Male,23,Engineer III,Financial Services,High Net Worth,No,12,2165,NSW,Australia,6,322,1.0125,43.0
Honey,Gosdin,Female,0,Software Engineer I,Property,Mass Customer,No,17,2582,NSW,Australia,9,322,1.0125,38.0
Sonny,McCart,Male,35,Account Representative I,Manufacturing,High Net Worth,No,9,3020,VIC,Australia,9,324,1.01,27.0
Rozamond,Turtle,Male,69,Legal Assistant,IT,Mass Customer,Yes,3,3850,VIC,Australia,3,324,1.01,31.0
Deirdre,Burgoine,Female,14,Programmer III,Health,High Net Worth,No,7,3000,VIC,Australia,1,326,1.009375,65.0
Haleigh,Burgoine,Female,17,Senior Sales Associate,Financial Services,Mass Customer,Yes,18,4503,QLD,Australia,4,326,1.009375,68.0
Aldridge,Poskitt,Male,84,VP Sales,Financial Services,Mass Customer,No,12,4161,QLD,Australia,5,326,1.009375,38.0
Zechariah,McReidy,Male,32,Technical Writer,Manufacturing,High Net Worth,No,21,4207,QLD,Australia,6,329,1.0,41.0
Carry,Costi,Female,32,Senior Developer,Property,Mass Customer,No,11,2800,NSW,Australia,4,329,1.0,47.0
Alon,Costi,Male,17,Accountant IV,Health,Affluent Customer,No,9,4218,QLD,Australia,3,329,1.0,21.0
Ahmed,Pickthorne,Male,46,Marketing Manager,Health,High Net Worth,Yes,15,2147,NSW,Australia,9,329,1.0,60.0
Nil,Shirer,Male,64,Librarian,Entertainment,Mass Customer,Yes,7,3013,VIC,Australia,8,329,1.0,22.0
Erhard,O'Moylane,Male,33,Media Manager I,Retail,Affluent Customer,Yes,9,3630,VIC,Australia,2,334,0.9987499999999998,42.0
Vitia,Axtens,Female,62,Financial Advisor,Financial Services,Mass Customer,Yes,15,2011,NSW,Australia,10,334,0.9987499999999998,74.0
Haskell,Moxted,Male,81,Civil Engineer,Manufacturing,Mass Customer,No,7,2145,NSW,Australia,9,334,0.9987499999999998,76.0
Ebony,Conrad,Female,8,Environmental Tech,Financial Services,Mass Customer,Yes,16,3029,VIC,Australia,7,334,0.9987499999999998,20.0
Lincoln,Boler,Male,53,Chief Design Engineer,Financial Services,Affluent Customer,No,14,3207,VIC,Australia,8,338,0.99609375,44.0
Vladimir,Westmerland,Male,18,Assistant Professor,Manufacturing,Mass Customer,Yes,18,2640,NSW,Australia,4,338,0.99609375,64.0
Kylynn,Drowsfield,Female,80,Editor,Retail,High Net Worth,Yes,7,3059,VIC,Australia,9,338,0.99609375,45.0
Nicole,Ruckhard,Female,93,Human Resources Manager,Health,Affluent Customer,Yes,17,4560,QLD,Australia,3,341,0.99,50.0
Celestina,Lethardy,Female,38,Software Consultant,IT,Mass Customer,Yes,11,3163,VIC,Australia,10,341,0.99,51.0
Tannie,Petrakov,Male,84,Data Coordiator,IT,Affluent Customer,No,10,4078,QLD,Australia,6,341,0.99,68.0
Bessy,Saladin,Female,22,VP Marketing,Manufacturing,Mass Customer,Yes,16,4075,QLD,Australia,10,341,0.99,80.0
Diego,Van den Broek,Male,17,Business Systems Development Analyst,Manufacturing,Affluent Customer,Yes,13,4055,QLD,Australia,7,345,0.988125,55.0
Lucilia,Minshall,Female,71,Data Coordiator,IT,Mass Customer,Yes,7,2750,NSW,Australia,8,345,0.988125,68.0
Cissiee,Pollington,Female,43,Associate Professor,Property,Mass Customer,Yes,7,2256,NSW,Australia,9,345,0.988125,78.0
Eddy,Sturch,Male,22,Software Consultant,Financial Services,High Net Worth,Yes,17,4158,QLD,Australia,6,345,0.988125,59.0
Caron,Kezar,Female,11,Social Worker,Health,Mass Customer,No,5,2835,NSW,Australia,1,349,0.9875,66.0
Sandor,Stirland,Male,67,Web Developer IV,Manufacturing,High Net Worth,No,12,3235,VIC,Australia,10,349,0.9875,39.0
Gallagher,Bromell,Male,18,Assistant Manager,Property,Mass Customer,No,17,4556,QLD,Australia,8,349,0.9875,63.0
Murial,Bulloch,Female,59,GIS Technical Architect,Financial Services,Mass Customer,No,13,2011,NSW,Australia,6,349,0.9875,55.0
Delinda,Ech,Female,74,Environmental Specialist,Argiculture,Mass Customer,Yes,17,3101,VIC,Australia,10,349,0.9875,75.0
Hussein,Tapenden,Male,19,Pharmacist,Health,Affluent Customer,Yes,12,2747,NSW,Australia,8,349,0.9875,66.0
Giulietta,Garbott,Female,59,Technical Writer,Health,Affluent Customer,Yes,14,3810,VIC,Australia,5,355,0.984375,18.0
Kaylyn,Jakaway,Female,45,Registered Nurse,Health,Affluent Customer,No,10,2290,NSW,Australia,8,356,0.9828125,39.0
Brynn,Goodyear,Female,30,Human Resources Manager,Health,Mass Customer,Yes,11,3075,VIC,Australia,7,356,0.9828125,75.0
Otis,Goodyear,Male,59,Electrical Engineer,Manufacturing,Affluent Customer,No,12,2075,NSW,Australia,11,358,0.98,49.0
Tamas,Swatman,Female,65,Assistant Media Planner,Entertainment,Affluent Customer,No,5,4551,QLD,Australia,8,358,0.98,26.0
Pace,Clemonts,Male,99,Media Manager IV,Retail,High Net Worth,No,10,3122,VIC,Australia,7,358,0.98,29.0
Tracy,Andrejevic,Male,71,Programmer II,IT,Mass Customer,Yes,11,3030,VIC,Australia,7,361,0.9775,30.0
Muffin,Grigolon,Male,7,Senior Editor,Telecommunications,Mass Customer,No,12,2232,NSW,Australia,10,361,0.9775,40.0
Allsun,Biner,Female,67,Nurse Practicioner,Financial Services,Mass Customer,Yes,10,2641,NSW,Australia,2,361,0.9775,22.0
Kenneth,Elleyne,Male,13,Technical Writer,Financial Services,Mass Customer,No,13,3145,VIC,Australia,11,361,0.9775,62.0
Clotilda,Southers,Female,62,Computer Systems Analyst II,Financial Services,Mass Customer,Yes,15,2323,NSW,Australia,4,361,0.9775,20.0
Augustus,Bourley,Male,60,Health Coach II,Health,Affluent Customer,No,18,4152,QLD,Australia,10,366,0.9750000000000001,38.0
Daisi,Tinwell,Female,84,Business Systems Development Analyst,Financial Services,Mass Customer,No,11,2777,NSW,Australia,8,366,0.9750000000000001,48.0
Gerik,Woodroof,Male,18,Paralegal,Financial Services,High Net Worth,Yes,9,3175,VIC,Australia,7,366,0.9750000000000001,61.0
Claresta,MacConnulty,Female,6,Recruiting Manager,Manufacturing,Mass Customer,Yes,20,2026,NSW,Australia,9,366,0.9750000000000001,62.0
Arty,Fontelles,Male,50,Help Desk Technician,IT,High Net Worth,No,4,3197,VIC,Australia,4,370,0.97,25.0
Giulia,Hazart,Female,57,Help Desk Technician,IT,Mass Customer,No,11,4218,QLD,Australia,11,371,0.96875,41.0
Whit,Emloch,Male,30,Food Chemist,Health,Mass Customer,Yes,6,2220,NSW,Australia,9,372,0.9668749999999999,56.0
Rowan,Summerly,Male,4,Librarian,Entertainment,Mass Customer,No,9,2209,NSW,Australia,10,372,0.9668749999999999,46.0
Ian,Rabat,Male,54,Web Designer I,Financial Services,Affluent Customer,No,11,3204,VIC,Australia,11,372,0.9668749999999999,44.0
Agneta,McAmish,Male,66,Structural Analysis Engineer,IT,Mass Customer,No,15,4207,QLD,Australia,6,375,0.96,25.0
Reginald,Jermy,Male,7,Director of Sales,Financial Services,High Net Worth,Yes,20,4128,QLD,Australia,8,375,0.96,59.0
Link,Gorini,Male,60,Accountant IV,IT,High Net Worth,No,10,4600,QLD,Australia,2,375,0.96,45.0
Harriet,Brattan,Female,81,Human Resources Assistant I,Financial Services,High Net Worth,No,2,3579,VIC,Australia,1,378,0.9562499999999999,33.0
Sada,Branton,Female,34,Nuclear Power Engineer,Manufacturing,Affluent Customer,No,14,3199,VIC,Australia,6,378,0.9562499999999999,46.0
Jenelle,Mc-Kerley,Female,40,Data Coordiator,Financial Services,Mass Customer,Yes,16,4068,QLD,Australia,5,378,0.9562499999999999,78.0
Gabrila,Toopin,Female,7,Junior Executive,Manufacturing,Mass Customer,No,12,2456,NSW,Australia,6,378,0.9562499999999999,57.0
Almira,Mangion,Female,4,VP Product Management,Financial Services,Affluent Customer,Yes,2,2230,NSW,Australia,12,382,0.95,24.0
Arty,Strudwick,Male,85,Data Coordiator,Health,Mass Customer,Yes,8,2211,NSW,Australia,10,382,0.95,56.0
Alexa,Dillet,Female,65,Product Engineer,Entertainment,Affluent Customer,No,17,2261,NSW,Australia,7,382,0.95,75.0
Palmer,Heaven,Male,82,Staff Scientist,Financial Services,Affluent Customer,Yes,9,3754,VIC,Australia,6,382,0.95,25.0
Porter,Buckenhill,Male,46,Help Desk Operator,Manufacturing,High Net Worth,Yes,9,4124,QLD,Australia,7,386,0.945625,66.0
Kizzee,Kemston,Female,11,Account Executive,Health,Mass Customer,No,13,2767,NSW,Australia,8,386,0.945625,58.0
Isadora,Ducker,Female,15,Account Executive,Health,Affluent Customer,Yes,8,3153,VIC,Australia,5,386,0.945625,46.0
Giffie,Offill,Male,51,Structural Engineer,Telecommunications,Affluent Customer,No,5,4740,QLD,Australia,3,386,0.945625,27.0
Fara,Sarath,Female,75,Quality Control Specialist,Manufacturing,Mass Customer,No,22,2168,NSW,Australia,7,386,0.945625,72.0
Carolann,Raatz,Female,25,Chief Design Engineer,Property,High Net Worth,No,21,3977,VIC,Australia,6,386,0.945625,41.0
Tamar,Windmill,Female,92,Senior Editor,Manufacturing,Affluent Customer,No,10,2207,NSW,Australia,10,386,0.945625,80.0
Kipp,Stockport,Male,36,Data Coordiator,Retail,Mass Customer,Yes,6,2022,NSW,Australia,11,386,0.945625,37.0
Packston,Wackett,Male,10,Quality Engineer,Financial Services,Mass Customer,No,19,3192,VIC,Australia,9,386,0.945625,70.0
Hanson,Eastes,Male,74,Accountant III,Manufacturing,Mass Customer,Yes,5,3056,VIC,Australia,9,395,0.94,30.0
Demetria,Bausor,Female,73,Assistant Media Planner,Entertainment,Mass Customer,Yes,9,2097,NSW,Australia,12,396,0.9375,58.0
Lura,Fawdrie,Female,66,VP Sales,Health,Mass Customer,Yes,4,4211,QLD,Australia,3,396,0.9375,18.0
Nora,Anselm,Female,84,Developer IV,Entertainment,High Net Worth,Yes,15,4342,QLD,Australia,5,396,0.9375,59.0
Estevan,Eastment,Male,54,Environmental Specialist,Health,Mass Customer,Yes,21,2019,NSW,Australia,8,396,0.9375,77.0
Aloysius,Glowacz,Male,72,Financial Advisor,Financial Services,Affluent Customer,No,18,2232,NSW,Australia,10,396,0.9375,41.0
Bastien,Ibbeson,Male,53,Software Consultant,IT,Mass Customer,No,12,2487,NSW,Australia,5,401,0.935,43.0
Otha,Langworthy,Female,91,Senior Financial Analyst,Financial Services,Mass Customer,Yes,13,3130,VIC,Australia,10,401,0.935,53.0
Gannie,Bargh,Male,56,Analyst Programmer,Financial Services,Mass Customer,Yes,13,3201,VIC,Australia,7,401,0.935,65.0
Dwayne,Doel,Male,80,Cost Accountant,Financial Services,Affluent Customer,Yes,17,2223,NSW,Australia,11,401,0.935,42.0
Leese,Huckleby,Female,67,Help Desk Operator,Manufacturing,High Net Worth,Yes,16,3777,VIC,Australia,7,405,0.93,42.0
Dodi,Kiggel,Female,5,Computer Systems Analyst II,Financial Services,Mass Customer,Yes,13,2114,NSW,Australia,11,405,0.93,39.0
Kippar,Brimilcome,Male,21,Graphic Designer,Health,Mass Customer,No,19,2089,NSW,Australia,11,405,0.93,81.0
Corinna,Beretta,Female,24,Programmer III,Health,High Net Worth,No,12,3023,VIC,Australia,7,408,0.9296875,24.0
Laurie,Odlin,Female,75,Social Worker,Health,High Net Worth,No,10,3194,VIC,Australia,10,409,0.925,37.0
Mair,Erett,Female,15,Speech Pathologist,Entertainment,Affluent Customer,No,18,2117,NSW,Australia,7,409,0.925,62.0
Marcelia,Copins,Female,81,Associate Professor,Property,Mass Customer,Yes,21,2259,NSW,Australia,8,409,0.925,74.0
Tanner,Terlinden,Male,84,Nuclear Power Engineer,Manufacturing,Mass Customer,No,14,3106,VIC,Australia,11,409,0.925,24.0
Hilliard,Dullard,Male,65,Civil Engineer,Manufacturing,Mass Customer,No,17,2163,NSW,Australia,8,409,0.925,65.0
Justinn,Haruard,Female,48,Health Coach IV,Health,High Net Worth,No,11,2035,NSW,Australia,12,414,0.924375,61.0
Wyn,Meach,Male,37,Payment Adjustment Coordinator,Manufacturing,Mass Customer,No,9,2765,NSW,Australia,9,415,0.9218749999999999,81.0
Art,Shardlow,Male,57,Data Coordiator,Argiculture,Mass Customer,Yes,15,4350,QLD,Australia,2,415,0.9218749999999999,56.0
Dennis,Varnham,Male,57,Assistant Media Planner,Entertainment,Affluent Customer,No,17,3350,VIC,Australia,3,415,0.9218749999999999,67.0
Freddi,Litherborough,Female,46,Product Engineer,Financial Services,Mass Customer,No,7,2460,NSW,Australia,3,418,0.918,31.0
Salomon,Perkins,Male,76,Engineer IV,Financial Services,Affluent Customer,Yes,1,2009,NSW,Australia,10,419,0.91640625,22.0
Sherill,Perkins,Female,33,Information Systems Manager,Financial Services,Mass Customer,No,3,2880,NSW,Australia,1,420,0.91375,28.0
Queenie,Learie,Female,90,Safety Technician I,Property,Mass Customer,No,12,2073,NSW,Australia,11,420,0.91375,72.0
Etan,Prinett,Male,97,Operator,Argiculture,Mass Customer,Yes,10,2250,NSW,Australia,8,420,0.91375,50.0
Donaugh,Benedict,Male,3,Systems Administrator III,Property,Mass Customer,No,12,2233,NSW,Australia,9,420,0.91375,28.0
Harwell,Kleinstein,Male,87,Sales Representative,Retail,Affluent Customer,No,15,3818,VIC,Australia,5,420,0.91375,26.0
Cheston,Hritzko,Male,70,Software Engineer III,Manufacturing,Mass Customer,Yes,19,2127,NSW,Australia,9,420,0.91375,74.0
Suzy,Trounson,Female,13,Senior Financial Analyst,Financial Services,Mass Customer,Yes,20,4152,QLD,Australia,9,420,0.91375,72.0
Jobie,Runacres,Female,96,Developer IV,Property,Mass Customer,Yes,18,2528,NSW,Australia,7,427,0.9125,45.0
Guenna,Filisov,Female,52,Chemical Engineer,Manufacturing,High Net Worth,No,13,2154,NSW,Australia,9,427,0.9125,51.0
